,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
199,EUR199527,weekend,N,rural_bare,276.675293,13.2829752,-28.20786667,741,0.170809433,0.248281658,1.010653853
200,EUR199528,workday,D,urban,292.3563538,18.1629715,-15.89167118,1056,0.128746018,0.197923064,0.526086569
201,EUR199528,workday,D,rural_bare,291.0485535,16.48859787,-19.08708191,858,0.140523449,0.218342483,0.619942904
202,EUR199528,weekend,D,urban,292.3444214,17.89700317,-16.28416061,440,0.18674013,0.297953606,0.772027552
203,EUR199528,weekend,D,rural_bare,290.960144,16.25512314,-19.75056839,369,0.204284668,0.33613953,0.901497602
204,EUR199528,workday,N,urban,281.0870667,10.18670273,-28.03300285,1875,0.086238258,0.125547931,0.67625308
205,EUR199528,workday,N,rural_bare,279.4692078,9.130130768,-31.29719925,1380,0.096651793,0.138099641,0.855236173
206,EUR199528,weekend,N,urban,281.1094971,10.19737816,-28.25452995,789,0.132948086,0.195449546,1.029018402
207,EUR199528,weekend,N,rural_bare,279.3904724,8.833392143,-30.13110161,597,0.144241601,0.207955316,1.30452621
208,EUR199529,workday,D,urban,292.3955383,15.50222397,-16.29788208,921,0.116619743,0.169785038,0.599746346
209,EUR199529,workday,D,rural_bare,290.4214172,14.35755444,-19.51461411,471,0.168520585,0.252421468,0.849861205
210,EUR199529,weekend,D,urban,292.4754639,15.28377914,-16.03966904,406,0.174213856,0.2592372,0.893660963
211,EUR199529,weekend,D,rural_bare,290.6743774,14.22329903,-19.35452461,215,0.259305716,0.408483118,1.274100423
212,EUR199529,workday,N,urban,281.1368408,7.934794426,-31.04926682,1851,0.072721556,0.105425194,0.732328057
213,EUR199529,workday,N,rural_bare,279.6466064,7.623946667,-34.83979416,888,0.111588605,0.146915779,1.226303101
214,EUR199529,weekend,N,urban,281.372345,8.003582954,-30.07754707,783,0.113189973,0.1618931,1.146083474
215,EUR199529,weekend,N,rural_bare,279.8362122,7.351434708,-34.45492172,320,0.200982884,0.264554441,2.310022831
216,EUR199530,workday,D,urban,292.6440735,15.57108974,-16.81431198,931,0.1188922,0.173135862,0.610696018
217,EUR199530,workday,D,rural_bare,290.4918518,13.61070728,-19.56911278,844,0.116000757,0.171211362,0.672488809
218,EUR199530,weekend,D,urban,292.4413147,15.24813271,-17.45200729,414,0.189756513,0.280446291,0.973805308
219,EUR199530,weekend,D,rural_bare,290.5531311,13.94186497,-19.67752266,370,0.185226142,0.279529661,1.014167547
220,EUR199530,workday,N,urban,280.9749756,8.142751694,-31.72439003,1894,0.074631058,0.108192578,0.73194474
221,EUR199530,workday,N,rural_bare,279.5039978,7.192574501,-35.02025604,1640,0.08184775,0.118547656,0.888979673
222,EUR199530,weekend,N,urban,281.1349792,8.215228081,-29.55190468,783,0.115488254,0.166214094,1.133610249
